Species,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",Other,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,Green,0,"April 3rd, 2016",METAD Agricultural Development plc,m,1950.0,2200.0,2075.0
Arabica,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,"April 3rd, 2016",METAD Agricultural Development plc,m,1950.0,2200.0,2075.0
Arabica,Guatemala,Unknown,5,1,Specialty Coffee Association,2012,"May 31st, 2010",Bourbon,Washed / Wet,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0,0.0,None,0,"May 31st, 2011",Specialty Coffee Association,m,1600.0,1800.0,1700.0
Arabica,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,2014,"March 26th, 2015",Other,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,Green,2,"March 25th, 2016",METAD Agricultural Development plc,m,1800.0,2200.0,2000.0
Arabica,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,"April 3rd, 2016",METAD Agricultural Development plc,m,1950.0,2200.0,2075.0
Arabica,Brazil,Unknown,100,30 kg,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Other,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,1759.5489542435423,1808.8438029520298,1784.196378597786
Arabica,Peru,Unknown,100,69 kg,Specialty Coffee Institute of Asia,2012,"September 17th, 2012",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,Bluish-Green,0,"September 17th, 2013",Specialty Coffee Institute of Asia,m,1759.5489542435423,1808.8438029520298,1784.196378597786
Arabica,Ethiopia,oromia,300,60 kg,Ethiopia Commodity Exchange,Mar-10,"September 2nd, 2010",Other,Washed / Wet,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,None,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570.0,1700.0,1635.0
Arabica,Ethiopia,oromiya,300,60 kg,Ethiopia Commodity Exchange,Mar-10,"September 2nd, 2010",Other,Washed / Wet,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,None,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570.0,1700.0,1635.0
Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",50,60 kg,METAD Agricultural Development plc,2014,"March 30th, 2015",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,"March 29th, 2016",METAD Agricultural Development plc,m,1795.0,1850.0,1822.5
